iter	Logloss
0	0.6839614868
1	0.671968689
2	0.6609382629
3	0.6525799561
4	0.6424666595
5	0.6330135345
6	0.6249464798
7	0.6191819
8	0.6114896774
9	0.6035537338
10	0.5968050385
11	0.5910067749
12	0.5868313599
13	0.5823880005
14	0.5777542114
15	0.5723605347
16	0.5676022339
17	0.5643888855
18	0.5613419724
19	0.5585097122
20	0.5559572601
21	0.5518771362
22	0.5485412598
23	0.5466345596
24	0.5429226685
25	0.541430397
26	0.538198204
27	0.5357397461
28	0.5324119568
29	0.5295114899
30	0.5274259186
31	0.5256789017
32	0.5235979462
33	0.5221430206
34	0.5200088501
35	0.518013916
36	0.5153099823
37	0.5130514526
38	0.5116725159
39	0.5096321106
40	0.5076522064
41	0.5064530182
42	0.5043304443
43	0.5039613342
44	0.5020611572
45	0.5014450836
46	0.4997531128
47	0.4988228226
48	0.4970089722
49	0.4954469299
50	0.4928190994
51	0.4914651489
52	0.4886814117
53	0.487326889
54	0.4852087402
55	0.4841379166
56	0.4827617645
57	0.4812994003
58	0.4806845474
59	0.4791485596
60	0.4776187515
61	0.4760424423
62	0.4749742126
63	0.4733629227
64	0.4722319412
65	0.4712696075
66	0.4703305054
67	0.4697948837
68	0.4683040619
69	0.4670527649
70	0.4658753967
71	0.4646475983
72	0.4623938751
73	0.4606476974
74	0.4589234161
75	0.4579789352
76	0.4568961716
77	0.455382576
78	0.4528748322
79	0.4517276001
80	0.4502497864
81	0.449375
82	0.4483243561
83	0.4472122955
84	0.4448423386
85	0.443658905
86	0.4425839615
87	0.4413304138
88	0.4401638794
89	0.438536644
90	0.4374121475
91	0.435854187
92	0.434645462
93	0.4330307007
94	0.4312294006
95	0.4304271698
96	0.429974823
97	0.4284672546
98	0.427942009
99	0.4267153168
100	0.4257967758
101	0.4250873566
102	0.4234161377
103	0.4223045731
104	0.4216731262
105	0.4206886292
106	0.4195426941
107	0.4186011124
108	0.4179164124
109	0.4173794556
110	0.4160280609
111	0.4150520706
112	0.4142014313
113	0.413698082
114	0.412797699
115	0.4113389206
116	0.4102722931
117	0.4092219162
118	0.4081502151
119	0.4074025726
120	0.406589241
121	0.4056763077
122	0.4045478821
123	0.4032551575
124	0.4022157288
125	0.4011365509
126	0.4000150299
127	0.3987365723
128	0.3979594421
129	0.3966228485
130	0.3954227829
131	0.3945351791
132	0.3935915375
133	0.3924362183
134	0.3920384216
135	0.3910072327
136	0.3899089813
137	0.3886637878
138	0.3878530121
139	0.3861742401
140	0.3855842972
141	0.3839054871
142	0.3832691574
143	0.381244812
144	0.3799047089
145	0.3791638184
146	0.3785617065
147	0.3776727295
148	0.3759431076
149	0.3752106857
150	0.374369545
151	0.3739315796
152	0.37331707
153	0.3729467773
154	0.3723809052
155	0.3714740753
156	0.370550766
157	0.3688619614
158	0.3678268051
159	0.3661933899
160	0.3655603027
161	0.3645863342
162	0.36375103
163	0.3627242279
164	0.3622012711
165	0.3610099792
166	0.3598757172
167	0.3582084274
168	0.357353363
169	0.3570593262
170	0.3567726135
171	0.3557629395
172	0.3545065308
173	0.352906723
174	0.3514923477
175	0.3508220673
176	0.3496950531
177	0.3486348343
178	0.3482004929
179	0.3472832108
180	0.3463817215
181	0.3461950684
182	0.3452706528
183	0.3443224716
184	0.3431974792
185	0.3428298569
186	0.341843338
187	0.3411986542
188	0.3399276352
189	0.3389774704
190	0.3379260254
191	0.3362210083
192	0.3351978683
193	0.33407547
194	0.333816452
195	0.3323728561
196	0.3308180237
197	0.3300108337
198	0.3297147751
199	0.3291133118
